cofids_food_code,name,description,protein,fat,carbohydrate,kcal
18-410,"Liver, calf, fried",10 samples,0.223,0.096,0,1.76
18-411,"Liver, chicken, raw",10 samples,0.177,0.023,0,0.92
18-398,"Heart, ox, raw",10 samples,0.182,0.035,0,1.04
18-381,"Partridge, roasted, meat only",Meat from dressed carcase,0.367,0.072,0,2.12
18-382,"Partridge, roasted, meat only, weighed with bone","Calculated from roast, meat only 18-381",0.22,0.043,0,1.27
18-384,"Pheasant, roasted, meat only, weighed with bone",Calculated from 18-383,0.145,0.062,0,1.14
18-454,"Pheasant, casseroled, meat only",3 samples,0,0.156,0,0
18-383,"Pheasant, roasted, meat only",10 samples from dressed carcase,0.279,0.12,0,2.2
18-386,"Pigeon, roasted, meat only, weighed with bone",Calculated from 18-385,0.136,0.037,0,0.88
18-385,"Pigeon, roasted, meat only","10 samples, meat from dressed carcase",0.29,0.079,0,1.87
18-258,"Pork, loin joint, raw, lean and fat",Calculated from 75% lean and 25% fat,0.193,0.188,0,2.46
18-269,"Pork, spare rib chops, raw, lean and fat",From shoulder; calculated from 93% lean and 7% fat,0.185,0.124,0,1.86
18-268,"Pork, mince, stewed",10 samples,0.244,0.104,0,1.91
18-267,"Pork, mince, raw",10 samples,0.192,0.097,0,1.64
18-266,"Pork, loin steaks, fried, lean and fat",Calculated from 76% lean and 23% fat,0.275,0.184,0,2.76
18-265,"Pork, loin steaks, fried, lean","22 samples of a mixture of loin steaks, boneless chops and noisettes",0.315,0.072,0,1.91
18-264,"Pork, loin steaks, raw, lean and fat",10 samples,0.199,0.161,0,2.25
18-263,"Pork, loin joint, roasted, lean and fat",Calculated from 74% lean and 26% fat,0.263,0.164,0,2.53
18-262,"Pork, loin joint, roasted, lean",10 samples,0.301,0.068,0,1.82
18-261,"Pork, loin joint, pot-roasted, lean and fat",Calculated from 74% lean and 26% fat,0.246,0.23,0,3.05
18-259,"Pork, loin joint, raw, lean and fat, weighed with bone",Calculated from 18-258,0.156,0.152,0,1.99
18-287,"Pork, steaks, stewed, lean",15 samples of a mixture of pork and leg steaks,0.336,0.046,0,1.76
18-257,"Pork, loin chops, roasted, lean and fat, weighed with bone",Calculated from 18-256,0.242,0.147,0,2.29
18-256,"Pork, loin chops, roasted, lean and fat",Calculated from 78% lean and 22% fat,0.319,0.193,0,3.01
18-255,"Pork, loin chops, roasted, lean","16 samples, mixture of loin and pork chops",0.375,0.101,0,2.41
18-254,"Pork, loin chops, microwaved, lean and fat",Calculated from 82% lean and 18% fat,0.302,0.141,0,2.48
18-253,"Pork, loin chops, microwaved, lean","18 samples, mixture of loin and pork chops",0.34,0.061,0,1.91
18-252,"Pork, loin chops, grilled, lean and fat",Calculated from 80% lean and 20% fat,0.29,0.157,0,2.57
18-251,"Pork, loin chops, grilled, lean",22 samples of a mixture of loin and pork chops,0.316,0.064,0,1.84
18-270,"Pork, spare rib chops, raw, lean and fat, weighed with bone",Calculated from 18-269,0.146,0.098,0,1.47
18-260,"Pork, loin joint, pot-roasted, lean",10 samples,0.31,0.081,0,1.97
18-283,"Pork, steaks, raw, lean",15 samples of a mixture of pork and leg steaks,0.224,0.034,0,1.2
18-498,"Pork, leg joint, raw, lean and fat, weighed with bone",Calculated from 18-483,0.165,0.132,0,1.85
18-485,"Pork, leg joint, lean and fat, roast, medium",Calculated from 83% lean and 17% fat,0.309,0.102,0,2.15
18-484,"Pork, leg joint, lean only, roast, medium",10 samples,0.33,0.055,0,1.82
18-483,"Pork, leg joint, lean and fat, raw",Calculated from 79% lean and 21% fat,0.19,0.152,0,2.13
18-482,"Pork, diced, casseroled, lean only",10 samples,0.317,0.064,0,1.84
18-288,"Pork, steaks, stewed, lean and fat",Calculated from 89% lean and 9% fat,0.31,0.083,0,1.99
18-273,"Pork, spare rib chops, braised, lean and fat, weighed with bone",Calculated from 18-272,0.216,0.115,0,1.9
18-286,"Pork, steaks, grilled, lean and fat",Calculated from 92% lean and 8% fat,0.324,0.076,0,1.98
18-285,"Pork, steaks, grilled, lean",19 samples of a mixture of pork and leg steaks,0.339,0.037,0,1.69
18-284,"Pork, steaks, raw, lean and fat",Calculated from 89% lean and 11% fat,0.21,0.094,0,1.69
18-271,"Pork, spare rib chops, braised, lean",26 samples,0.305,0.101,0,2.13
18-282,"Pork, spare rib steaks, raw, lean and fat",From shoulder; calculated from 86% lean and 13% fat,0.187,0.104,0,1.68
18-281,"Pork, spare rib slices, grilled, lean and fat, weighed with bone",Calculated from 39% lean and 6% fat,0.131,0.088,0,1.32
18-280,"Pork, spare rib slices, grilled, lean and fat",10 samples,0.292,0.195,0,2.92
18-279,"Pork, spare rib slices, raw, lean and fat, weighed with bone",Calculated from 41% lean and 6% fat,0.09,0.064,0,0.94
18-278,"Pork, spare ribs, raw, lean and fat",10 samples,0.187,0.134,0,1.95
18-277,"Pork, spare rib joint, pot-roasted, lean and fat",Calculated from 67% lean and 32% fat,0.244,0.18,0,2.6
18-276,"Pork, spare rib joint, pot-roasted, lean",10 samples,0.3,0.09,0,2.01
18-274,"Pork, spare rib joint, raw, lean and fat",From shoulder; calculated from 74% lean and 26% fat,0.176,0.164,0,2.18
18-272,"Pork, spare rib chops, braised, lean and fat",Calculated from 87% lean and 13% fat,0.281,0.15,0,2.47
18-250,"Pork, loin chops, frozen, grilled, lean",34 samples,0.329,0.09,0,2.13
18-210,"Pork, chump chops, raw, lean and fat",Calculated from 80% lean and 20% fat,0.201,0.126,0,1.94
18-201,"Pork, trimmed lean, raw",LGC; average of 8 different cuts,0.218,0.04,0,1.23
18-221,"Pork, diced, kebabs, grilled, lean",10 samples,0.341,0.047,0,1.79
18-220,"Pork, diced, casseroled, lean and fat",Calculated from 96% lean and 2% fat,0.308,0.068,0,1.84
18-217,"Pork, diced, raw, lean",10 samples,0.214,0.04,0,1.22
18-249,"Pork, loin chops, barbecued, lean and fat",Calculated from 82% lean and 18% fat,0.283,0.158,0,2.55
18-215,"Pork, chump steaks, fried, lean and fat",Calculated from 91% lean and 9% fat,0.279,0.117,0,2.17
18-214,"Pork, chump steaks, raw, lean and fat",Calculated from 91% lean and 9% fat,0.213,0.073,0,1.51
18-213,"Pork, chump chops, fried, lean and fat, weighed with bone",Calculated from 18-212,0.209,0.184,0,2.49
18-222,"Pork, diced, kebabs, grilled, lean and fat",Calculated from 96% lean and 4% fat,0.336,0.061,0,1.89
18-211,"Pork, chump chops, raw, lean and fat, weighed with bone",Calculated from 18-210,0.173,0.098,0,1.94
18-218,"Pork, diced, raw, lean and fat",Calculated from 91% lean and 8% fat,0.205,0.072,0,1.47
18-209,"Pork, belly joint/slices, grilled, lean and fat","25 samples, 58% lean and 42% fat",0.274,0.234,0,3.2
18-208,"Pork, belly joint, roasted, lean and fat","10 samples, 65% lean and 35% fat",0.251,0.214,0,2.93
18-207,"Pork, belly joint/slices, raw, lean and fat, weighed with bone",Calculated from 18-206,0.176,0.186,0,2.38
18-206,"Pork, belly joint/slices, raw, lean and fat",12 samples,0.191,0.202,0,2.58
18-205,"Pork, fat, cooked",LGC; average of 5 different cuts,0.142,0.509,0,5.15
18-204,"Pork, extra trimmed fat, raw",MLC; weighted average of 6 different cuts,0.071,0.697,0,6.56
18-203,"Pork, trimmed fat, raw",LGC; average of 8 different cuts,0.101,0.564,0,5.48
18-202,"Pork, extra trimmed lean, raw",MLC; weighted average of 6 different cuts,0.219,0.037,0,1.21
18-275,"Pork, spare rib joint, raw, lean and fat, weighed with bone",Calculated from 18-274,0.131,0.121,0,1.61
18-212,"Pork, chump chops, fried, lean and fat",Calculated from 74% lean and 26% fat,0.246,0.216,0,2.93
18-242,"Pork, leg joint, roasted well done, lean",10 samples,0.347,0.051,0,1.85
18-248,"Pork, loin chops, barbecued, lean",19 samples of a mixture of loin and pork chops,0.311,0.068,0,1.86
18-247,"Pork, loin chops, raw, lean and fat, weighed with bone",Calculated from 18-246,0.157,0.182,0,2.27
18-246,"Pork, loin chops, raw, lean and fat",Calculated from 70% lean and 30% fat,0.186,0.217,0,2.7
18-245,"Pork, leg joint, frozen, roasted, lean and fat",Calculated from 84% lean and 16% fat,0.307,0.112,0,2.24
18-216,"Pork, crackling, cooked","From various cuts of pork, grilled and roasted",0.362,0.45,0,5.5
18-243,"Pork, leg joint, roasted well done, lean and fat",Calculated from 79% lean and 21% fat,0.301,0.154,0,2.59
18-223,"Pork, diced, slow-cooked, lean",10 samples,0.3,0.054,0,1.69
18-239,"Pork, leg joint, microwaved, lean and fat",Calculated from 78% lean and 22% fat,0.293,0.15,0,2.52
18-238,"Pork, leg joint, microwaved, lean",10 samples,0.336,0.048,0,1.78
18-235,"Pork, leg joint, raw, lean",10 samples of a mixture of leg and knuckle joints,0.217,0.022,0,1.07
18-234,"Pork, hand, shoulder joint, roasted, lean and fat",Calculated from 71% lean and 27% fat,0.275,0.165,0,2.59
18-232,"Pork, hand, shoulder joint, pressure cooked, lean and fat",Calculated from 66% lean and 33% fat,0.249,0.188,0,2.69
18-231,"Pork, hand, shoulder joint, pressure cooked, lean",10 samples,0.302,0.079,0,1.92
18-230,"Pork, hand, shoulder joint, raw, lean and fat",Calculated from 73% lean and 26% fat,0.181,0.162,0,2.18
18-229,"Pork, hand, shoulder joint, raw, lean",10 samples,0.208,0.042,0,1.21
18-228,"Pork, fillet strips, stir-fried, lean",10 samples,0.321,0.059,0,1.82
18-224,"Pork, diced, slow-cooked, lean and fat",Calculated from 98% lean and 2% fat,0.297,0.06,0,1.73
18-227,"Pork, fillet slices, grilled, lean and fat",Calculated from 98% lean and 2% fat,0.332,0.05,0,1.78
18-226,"Pork, fillet slices, grilled, lean",10 samples,0.336,0.04,0,1.7
18-225,"Pork, fillet, raw, lean and fat",Calculated from 97% lean and 3% fat,0.22,0.065,0,1.47
18-233,"Pork, hand, shoulder joint, roasted, lean",10 samples,0.308,0.088,0,2.02
18-244,"Pork, leg joint, frozen, roasted, lean",4 samples of a mixture of leg joints from fillet and shank,0.324,0.07,0,1.93
18-387,"Rabbit, raw, meat only",10 samples from leg and loin,0.219,0.055,0,1.37
18-466,"Rabbit, stewed, meat and fat",4 samples,0,0.034,0,0
18-388,"Rabbit, stewed, meat only","30 samples of a mixture of fresh, wild, farmed and frozen imported",0.212,0.032,0,1.14
18-389,"Rabbit, stewed, meat only, weighed with bone",Calculated from 18-388,0.127,0.019,0,0.68
18-368,"Whole turkey, roasted, weighed with bone",Calculated from 18-367,0.201,0.048,0,1.24
18-367,"Whole turkey, roasted","Calculated from 47% light meat, 45% dark meat and 8% skin from fresh, frozen and self-basting turkey",0.309,0.074,0,1.9
18-366,"Turkey, drumsticks, roasted, meat and skin, weighed with bone",Calculated from 18-365,0.197,0.061,0,1.34
18-365,"Turkey, drumsticks, roasted, meat and skin",Calculated from 92% dark meat and 8% skin,0.274,0.085,0,1.86
18-364,"Turkey, drumsticks, roasted, meat only",9 samples,0.275,0.058,0,1.62
18-363,"Turkey, skin, moist, roasted",18 samples,0.216,0.317,0,3.72
18-362,"Turkey, skin, dry, roasted",10 samples,0.299,0.402,0,4.81
18-361,"Turkey, meat, average, roasted","Calculated from 51% light meat and 49% dark meat from fresh, frozen and self-basting turkey",0.312,0.046,0,1.66
18-358,"Turkey, dark meat, roasted",27 samples including self-basting turkey,0.294,0.066,0,1.77
18-359,"Turkey, light meat, roasted",18 samples,0.337,0.02,0,1.53
18-350,"Turkey, meat, average, raw",Calculated from 56% light meat and 44% dark meat,0.226,0.016,0,1.05
18-357,"Turkey, strips, stir-fried",8 samples; skinless,0.31,0.045,0,1.64
18-360,"Turkey, light meat, self-basting, roasted",9 samples,0.317,0.04,0,1.63
18-349,"Turkey, light meat, raw",20 samples,0.244,0.008,0,1.05
18-351,"Turkey, skin, raw",21 samples,0.14,0.307,0,3.32
18-352,"Whole turkey, raw","Calculated from 49% light meat, 39% dark meat and 13% skin",0.216,0.052,0,1.33
18-353,"Whole turkey, raw, weighed with bone",Calculated from 18-352,0.151,0.036,0,0.93
18-354,"Turkey, mince, stewed",5 samples,0.286,0.068,0,1.76
18-355,"Turkey, thighs, diced, casseroled, meat only",8 samples; skinless,0.283,0.075,0,1.81
18-356,"Turkey, breast, fillet, grilled, meat only",9 samples; skinless,0.35,0.017,0,1.55
18-348,"Turkey, dark meat, raw",20 samples,0.204,0.025,0,1.04
18-094,"Veal, mince, raw",5 samples,0.203,0.07,0,1.44
18-095,"Veal, mince, stewed",5 samples,0.263,0.111,0,2.05
18-486,"Veal, escalope, raw",9 samples,0.227,0.017,0,1.06
18-487,"Veal, escalope, fried",9 samples,0.337,0.068,0,1.96
18-390,"Venison, raw","Haunch, meat only",0.222,0.016,0,1.03
18-491,"Venison, roast","Calculated from raw, 8 samples including diced and steaks",0.356,0.025,0,1.65
18-455,"Venison, casseroled, meat only",8 samples including diced and steaks,0,0.037,0,0
19-296,"Chicken tikka, chilled, reheated","7 samples, different brands",0,0.098,0,0
19-046,"Grillsteaks, beef, chilled/frozen, grilled","10 samples, 7 brands",0.221,0.239,0.005,3.05
19-314,"Cheeseburger, takeaway","Manufacturers' data and calculation from ingredient proportions. Portion Includes beefburger, bun, cheese, mustard, ketchup, onions and pickles",0.136,0.118,0.261,2.59
19-313,Whopper burger,"Manufacturer's data  Burger King and calculation from ingredient proportions. Portion includes bun, beefburger, mayonnaise, lettuce, tomato, ketchup, onions and pickles",0.107,0.148,0.174,2.41
19-312,"Quarterpounder with cheese, takeaway","Manufacturer's data  McDonald's. Portion includes a quarter pound beefburger, ketchup, mustard, onions, pickles and slice of cheese",0.151,0.13,0.195,2.5
19-311,"Hamburger, takeaway","Manufacturers' data and calculation from ingredient proportions.  Portion includes bun, beefburger, mustard, ketchup, onions  and pickles",0.139,0.096,0.269,2.43
19-309,"Beefburgers, chilled/frozen, raw","8 samples, 3 Brands. 98-99% meat",0.171,0.247,0.001,2.91
19-043,"Economy burgers, frozen, grilled","10 samples, 6 brands containing onion",0.158,0.193,0.097,2.73
19-042,"Economy burgers, frozen, raw","10 samples, 6 brands containing onion. 60% meat",0.137,0.212,0.04,2.61
19-030,"Beefburgers, chilled/frozen, grilled","8 samples, 3 brands",0.265,0.244,0.001,3.26
19-029,"Beefburgers, chilled/frozen, fried","8 samples, 3 brands",0.285,0.239,0.001,3.29
19-315,"Chicken burger, takeaway","Manufacturers' data. Portion includes chicken burger, bun, lettuce and mayonnaise",0.125,0.108,0.234,2.35
19-310,Big Mac,"Manufacturer's data McDonald's. Portion includes two beefburgers, bun, sauce, cheese, lettuce, onions and pickles",0.124,0.107,0.22,2.28
12-021,"Channel Island milk, semi-skimmed, UHT",10 samples,0.036,0.016,0.048,0.47
12-020,"Channel Island milk, whole, pasteurised, winter",Selected nutrients only,0.036,0.051,0.048,0.78
12-018,"Channel Island milk, whole, pasteurised",Samples from dairy and retail outlets.  Fat from milk Marketing Board,0.036,0.051,0.048,0.78
12-019,"Channel Island milk, whole, pasteurised, summer",Selected nutrients only,0.036,0.051,0.048,0.78
12-357,"Cheese, goats milk soft, full fat, white rind","16 samples, English and French",0.211,0.258,0.01,3.2
12-344,"Cheese, Brie","20 samples, with outer rind removed",0.203,0.291,0,3.43
12-345,"Cheese, Camembert",18 samples,0.215,0.227,0,2.9
12-346,"Cheese, cheddar, English","20 samples of English cheddar including mild and mature, spring and autumn.",0.254,0.349,0.001,4.16
12-347,"Cheese, Cheddar, vegetarian",16 samples,0.255,0.32,0,3.9
12-348,"Cheese, cheddar type, half fat",16 samples,0.327,0.158,0,2.73
12-349,"Cheese spread, plain","20 samples, 7 brands, portions and tubs",0.113,0.228,0.044,2.67
12-350,"Cheese spread, reduced fat","13 samples, 9 brands, portions and tubs",0.15,0.095,0.079,1.75
12-351,"Cheese, cottage, plain",16 samples,0.126,0.043,0.031,1.01
12-352,"Cheese, cottage, plain, reduced fat",20 samples,0.133,0.015,0.033,0.79
12-353,"Cheese, cream",3 samples,0.031,0.474,0,4.39
12-354,"Cheese, Danish blue",18 samples,0.205,0.289,0,3.42
12-355,"Cheese, Edam",20 samples,0.267,0.26,0,3.41
12-368,"Cheese, white, average","Average of Cheshire, Lancashire and Wensleydale",0.237,0.318,0.001,3.81
12-148,"Cottage cheese, plain, with additions","10 samples, mixed, e.g. with pineapple, Cheddar cheese",0.128,0.038,0.026,0.95
12-358,"Cheese, Gouda",18 samples,0.253,0.306,0,3.77
12-359,"Cheese, hard, average","Average of English Cheddar, Red Leicester and Double Gloucester",0.249,0.345,0.001,4.11
12-360,"Cheese, Mozzarella, fresh","18 samples, not grated",0.186,0.203,0,2.57
12-361,"Cheese, Parmesan, fresh","8 samples, wedges/freshly grated",0.362,0.297,0.009,4.15
12-362,"Cheese, processed, plain","20 samples, 7 brands",0.178,0.23,0.05,2.97
12-363,"Cheese, processed, slices, reduced fat","10 samples, 7 brands",0.224,0.133,0.05,2.28
12-364,"Cheese, spreadable, soft white, full fat","20 samples, including Philadelphia",0.075,0.313,0,3.12
12-365,"Cheese, spreadable, soft white, medium fat","20 samples, including Philadelphia light",0.098,0.163,0.035,1.99
12-366,"Cheese, spreadable, soft white, low fat",18 samples of extra light soft cheese spreads,0.149,0.08,0.035,1.45
12-367,"Cheese, Stilton, blue",20 samples,0.237,0.35,0.001,4.1
12-197,Yogurt powder,Commercial ingredient.  Calculation and manufacturer's data,0.35,0.01,0.544,3.53
12-356,"Cheese, Feta","18 samples, made from sheeps and goats milk",0.156,0.202,0.015,2.5
12-132,"Cheese, Caerphilly",10-20 samples,0.232,0.313,0.001,3.75
12-182,"Cheese, Wensleydale",10-23 samples,0.233,0.315,0.001,3.77
12-153,"Cheese, Double Gloucester",10-22 samples,0.246,0.34,0.001,4.05
12-134,"Cheese, Cheddar, average",Weighted average from 5 countries,0.255,0.344,0.001,4.12
12-135,"Cheese, Cheddar, Australian",10 samples,0.249,0.343,0.001,4.09
12-136,"Cheese, Cheddar, Canadian",10 samples,0.262,0.353,0.001,4.23
12-138,"Cheese, Cheddar, Irish",10 samples,0.251,0.338,0.001,4.05
12-139,"Cheese, Cheddar, New Zealand",10 samples,0.263,0.354,0.001,4.24
12-143,"Cheese spread, flavoured","10 samples, assorted flavours",0.142,0.205,0.044,2.58
12-144,"Cheese spread, lactic",10 samples St lvel,0.177,0.245,0.018,2.98
12-145,"Cheese, Cheshire",10-33 samples,0.24,0.314,0.001,3.79
12-146,"Cheese, Cheshire-type, reduced fat","10 samples, Tendale",0.327,0.153,0,2.69
12-152,"Cheese, Derby",10-14 samples,0.242,0.339,0.001,4.02
12-176,"Cheese, Ricotta",Analysis and literature sources,0.094,0.11,0.02,1.44
12-179,"Cheese, soya",3 samples,0.183,0.273,0,3.19
12-181,"Cheese, Stilton, white",3-10 samples,0.199,0.313,0.001,3.62
12-155,"Cheese, Edam-type, reduced fat","4 samples, 2 brands",0.326,0.109,0,2.29
12-177,"Cheese, Roquefort",10 samples,0.197,0.329,0,3.75
12-175,"Cheese, Red Windsor",10 samples,0.244,0.337,0,4.01
12-174,Quark,"Skimmed milk soft cheese Magerquark, 10 samples",0.146,0,0.04,0.74
12-173,"Cheese, processed, smoked",10 assorted varieties,0.205,0.245,0.002,3.03
12-167,"Cheese, Leicester",10-27 samples,0.243,0.337,0.001,4.01
12-166,"Cheese, Lancashire",10-22 samples,0.233,0.31,0.001,3.73
12-164,"Cheese, Gruyere",10 samples,0.272,0.333,0,4.09
12-156,"Cheese, Emmental",Literature sources,0.287,0.297,0,3.82
12-178,"Cheese, Sage Derby","10 samples, proximates as Derby",0.242,0.339,0.001,4.02
12-071,"Progress, reconstituted",Manufacturer's data Wyeth,0.028,0.025,0.076,0.62
12-070,Progress,Manufacturer's data Wyeth,0.2,0.177,0.544,4.43
12-332,"Cream, fresh, single",Average of 22 samples of summer and winter cream,0.033,0.191,0.022,1.93
12-337,"Cream, dairy, extra thick","16 samples, 4 brands, summer and winter",0.029,0.235,0.034,2.36
12-336,"Creme fraiche, half fat","8 samples, 6 brands",0.027,0.15,0.044,1.62
12-335,Creme fraiche,"9 samples, 6 brands",0.022,0.4,0.024,3.78
12-117,"Cream, fresh, clotted","17 samples, 3 brands",0.016,0.635,0.023,5.86
12-114,"Cream, fresh, soured","8 samples, 4 brands",0.029,0.199,0.038,2.05
12-112,"Cream, fresh, half","10 samples, 5 brands",0.03,0.133,0.043,1.48
12-333,"Cream, fresh, whipping",Average of 22 samples of summer and winter cream,0.02,0.403,0.027,3.81
12-334,"Cream, fresh, double, including Jersey cream",Average of 22 samples of summer and winter cream. Includes Jersey cream,0.016,0.537,0.017,4.96
12-118,"Cream, frozen, single",4 samples,0.031,0.2,0.04,2.07
12-119,"Cream, frozen, whipping","10 samples, 2 brands",0.019,0.4,0.03,3.79
12-451,Peach melba,Recipe,0.019,0.105,0.135,1.53
12-390,"Lollies, containing ice-cream",3 samples,0.014,0.038,0.209,1.18
12-391,"Ice cream bar, chocolate coated","10 samples, different brands including  Mars, Bounty, Snickers",0.05,0.233,0.218,3.2
12-392,"Ice cream, dairy, premium","10 samples, 5 brands",0.039,0.151,0.168,2.15
12-393,"Sorbet, fruit","10 samples, assorted flavours",0.002,0.003,0.248,0.97
12-411,Chocolate nut sundae,Recipe,0.026,0.148,0.263,2.42
12-447,Banana split,Recipe,0.025,0.119,0.197,1.91
12-448,"Ice cream, with cone",Recipe,0.033,0.075,0.214,1.61
12-450,Kulfi,Indian ice cream. Recipe,0.056,0.427,0.138,4.59
12-207,"Ice cream, non-dairy, flavoured","14 samples, hard and soft scoop assorted flavours",0.031,0.074,0.232,1.66
12-389,"Lollies, with real fruit juice","10 samples, 6 brands, assorted flavours",0.001,0.003,0.186,0.73
12-449,"Ice cream, with wafers",Recipe,0.033,0.075,0.211,1.6
12-387,"Ice cream, dairy, vanilla",11 samples,0.036,0.098,0.198,1.77
12-386,Cornetto type ice cream cone,"10 samples, 5 brands, chocolate and nut and mint choc chip flavours",0.04,0.178,0.288,2.84
12-385,Frozen ice cream desserts,"10 samples, 7 brands e.g. Viennetta, Romantica, After Eight",0.035,0.176,0.21,2.51
12-384,Choc ice,"10 samples, 5 brands, non dairy",0.032,0.217,0.232,2.95
12-213,Knickerbocker glory,Recipe,0.015,0.05,0.164,1.12
12-212,Ice cream wafers,"6 samples, 2 brands",0.101,0.007,0.788,3.42
12-198,Arctic roll,"10 samples, 2 brands",0.041,0.066,0.333,2
12-208,"Ice cream, non-dairy, mixes",Prepared mix from ice cream parlour,0.041,0.079,0.251,1.82
12-205,"Ice cream, dairy, flavoured","17 samples, assorted flavours",0.035,0.08,0.247,1.79
12-209,"Ice cream, non-dairy, reduced calorie",2 samples Heinz,0.034,0.06,0.137,1.19
12-388,"Ice cream, non-dairy, vanilla","14 samples, hard and soft scoop",0.03,0.078,0.188,1.53
12-340,"Elmlea, single",5 samples,0.031,0.145,0.04,1.58
12-343,Tip Top dessert topping,4 samples,0.049,0.065,0.09,1.12
12-341,"Elmlea, whipping",4 samples,0.026,0.299,0.033,2.92
12-898,Simply Double dessert topping,4 samples ,0,0.282,0,0
12-897,"Non-dairy cream, UHT, canned spray","5 samples, 4 brands",0,0.222,0,0
12-129,Smatana,Creamed cultured dairy product,0.047,0.1,0.056,1.3
12-899,Soya dessert topping,"6 samples, 2 brands",0,0.187,0,0
12-342,"Elmlea, double",4 samples,0.026,0.357,0.036,3.45
12-906,"Reduced fat yogurt, frozen","2 samples, different brands",0,0.02,0,0
12-191,"Low fat yogurt, muesli/nut","20 samples, 10 hazelnut, 10 muesli",0.05,0.022,0.192,1.12
12-904,"Low fat yogurt,hazelnut","8 samples, 5 brands",0,0.015,0,0
12-905,"Low fat yogurt, toffee","8 samples, 4 brands",0,0.009,0,0
12-439,"Complan powder, savoury, made up with water",Recipe. Made up according to packet directions,0.034,0.032,0.143,0.96
12-446,"Milk shake powder, made up with skimmed milk",Recipe. Calculated from 15g powder to 200ml milk,0.033,0.003,0.11,0.57
12-440,"Complan powder, sweet, made up with water",Recipe. Made up according to packet directions,0.035,0.033,0.152,1.01
12-438,"Cocoa powder, made up with skimmed milk","Recipe, Calculated from 4g powder, 4g sugar and 200ml milk",0.036,0.006,0.064,0.44
12-441,"Complan, sweet, made up with whole milk",Recipe. Made up according to packet directions,0.06,0.063,0.184,1.5
12-442,"Complan, sweet, made up with semi-skimmed milk",Recipe. Made up according to packet directions,0.061,0.045,0.184,1.35
12-443,"Complan, sweet, made up with skimmed milk",Recipe. Made up according to packet directions,0.061,0.034,0.182,1.23
12-445,"Milk shake powder, made up with semi-skimmed milk",Recipe. Calculated from 15g powder to 200ml milk,0.033,0.017,0.112,0.7
12-104,Milk shake powder,"6 samples Nesquik, 3 flavours",0.013,0.016,0.983,3.88
12-444,"Milk shake powder, made up with whole milk",Recipe. Calculated from 15g powder to 200ml milk,0.032,0.037,0.111,0.88
12-436,"Cocoa powder, made up with whole milk","Recipe, Calculated from 4g powder, 4g sugar and 200ml milk",0.035,0.041,0.065,0.77
12-435,"Bournvita powder, made up with skimmed milk",Recipe,0.036,0.002,0.072,0.43
12-433,"Bournvita powder, made up with whole milk",Recipe,0.035,0.038,0.073,0.76
12-102,"Microdiet powder, made up with water","Recipe, I sachet 33g with 250ml water",0.049,0.003,0.041,0.38
12-101,Microdiet powder,"For'micro-drink', manufacturer's data Uni-Vite",0.42,0.03,0.35,3.3
12-082,Cocoa powder,"10 samples, 2 brands",0.185,0.217,0.115,3.12
12-081,"Cambridge Diet powder, made up with water",Manufacturer's data Cambridge Nutrition,0.059,0.011,0.061,0.56
12-080,Cambridge Diet powder,Manufacturer's data Cambridge Nutrition,0.366,0.07,0.384,3.53
12-437,"Cocoa powder, made up with semi-skimmed milk","Recipe, Calculated from 4g powder, 4g sugar and 200ml milk",0.037,0.02,0.067,0.58
12-434,"Bournvita powder, made up with semi-skimmed milk",Recipe,0.036,0.017,0.074,0.57
12-052,Cow & Gate Plus,Analysis and manufacturer's data Cow & Gate,0.145,0.263,0.562,5.05
12-059,"SMA, White Cap, reconstituted",Manufacturer's data Wyeth,0.015,0.036,0.069,0.63
12-058,White Cap SMA,Manufacturer's data Wyeth,0.122,0.281,0.558,5.11
12-057,"Milumil, reconstituted",Calcd. as 1 scoop granules 4.66g to 28.35ml water,0.019,0.031,0.086,0.69
12-056,Milumil,Analysis and manufacturer's data Milupa,0.137,0.228,0.612,4.89
12-055,"Farley's Oster Milk Two, reconstituted",Calcd. as 1 scoop powder 4.4g to 28.35ml water,0.016,0.029,0.089,0.66
12-053,"Cow & Gate Plus, reconstituted",Calcd. as 1 scoop powder 4.3g to 30ml water,0.018,0.034,0.071,0.63
12-054,Farley's Oster Milk Two,Analysis and manufacturer's data Farley's,0.122,0.19,0.659,4.7
12-329,"Sheeps milk, raw",30 samples from 2 herds and literature sources,0.054,0.058,0.051,0.93
12-331,"Soya, non-dairy alternative to milk, unsweetened","10 samples, 8 brands",0.024,0.016,0.005,0.26
12-330,"Soya, non-dairy alternative to milk, sweetened, calcium enriched","10 samples, 9 brands",0.031,0.024,0.025,0.43
12-038,"Human milk, colostrum",Literature sources,0.02,0.026,0.066,0.56
12-886,"Organic semi-skimmed milk, pasteurised","6 samples, 3 brands",0,0.018,0,0
12-039,"Human milk, transitional","Mixed sample, 15 mothers at 10th day post partum and literature sources",0.015,0.037,0.069,0.67
12-328,"Goats milk, pasteurised",20 samples from one herd and literature sources,0.031,0.037,0.044,0.62
12-040,"Human milk, mature",DHSS ref. 1 and literature sources,0.013,0.041,0.072,0.69
12-193,"Yogurt, drinking","5 samples Ambrosia, UHT",0.031,0,0.131,0.62
12-907,"Virtually fat free/diet yogurt, fruit,twin pot","5 samples, 2 brands",0,0.001,0,0
12-908,"Fromage frais, fruit, children's","13 samples, 6 brands including strawberry,
raspberry, peach, and apricot",0,0.048,0,0
